INFO:root:============================= SIMULATION =============================
INFO:root:Step       PotEng          KinEng          TotEng          Volume
INFO:root:2800    -5.635875e+00    1.164623e+00    -4.471251e+00    5.222740e+03
INFO:root:2900    -5.774599e+00    1.298140e+00    -4.476459e+00    5.222740e+03
INFO:root:3000    -5.775444e+00    1.297336e+00    -4.478107e+00    5.222740e+03
INFO:root:3100    -5.857099e+00    1.381825e+00    -4.475274e+00    5.222740e+03
INFO:root:3200    -5.810240e+00    1.333789e+00    -4.476452e+00    5.222740e+03
INFO:root:3300    -5.780268e+00    1.308779e+00    -4.471489e+00    5.222740e+03
INFO:root:3400    -5.725765e+00    1.255694e+00    -4.470072e+00    5.222740e+03
INFO:root:3500    -5.647329e+00    1.178914e+00    -4.468415e+00    5.222740e+03
INFO:root:3600    -5.725471e+00    1.257765e+00    -4.467706e+00    5.222740e+03
INFO:root:3700    -5.820856e+00    1.352204e+00    -4.468653e+00    5.222740e+03
INFO:root:3800    -5.739493e+00    1.264935e+00    -4.474558e+00    5.222740e+03
INFO:root:3900    -5.650460e+00    1.178499e+00    -4.471961e+00    5.222740e+03
INFO:root:4000    -5.671319e+00    1.198884e+00    -4.472435e+00    5.222740e+03
INFO:root:4100    -5.834615e+00    1.364071e+00    -4.470545e+00    5.222740e+03
INFO:root:4200    -5.761338e+00    1.291975e+00    -4.469364e+00    5.222740e+03
INFO:root:4300    -5.678970e+00    1.207244e+00    -4.471726e+00    5.222740e+03
INFO:root:4400    -5.727390e+00    1.255663e+00    -4.471727e+00    5.222740e+03
INFO:root:4500    -5.650298e+00    1.183533e+00    -4.466765e+00    5.222740e+03
INFO:root:4600    -5.723674e+00    1.254311e+00    -4.469363e+00    5.222740e+03
INFO:root:4700    -5.816863e+00    1.344422e+00    -4.472441e+00    5.222740e+03
INFO:root:4800    -5.713772e+00    1.242756e+00    -4.471016e+00    5.222740e+03
INFO:root:4900    -5.760375e+00    1.287231e+00    -4.473144e+00    5.222740e+03
INFO:root:5000    -5.878700e+00    1.400589e+00    -4.478111e+00    5.222740e+03
INFO:root:5100    -5.763917e+00    1.292903e+00    -4.471014e+00    5.222740e+03
INFO:root:5200    -5.704355e+00    1.235229e+00    -4.469125e+00    5.222740e+03
INFO:root:5300    -5.737060e+00    1.266989e+00    -4.470071e+00    5.222740e+03
INFO:root:5400    -5.708251e+00    1.232744e+00    -4.475507e+00    5.222740e+03
INFO:root:5500    -5.752503e+00    1.280303e+00    -4.472200e+00    5.222740e+03
INFO:root:5600    -5.742833e+00    1.272051e+00    -4.470782e+00    5.222740e+03
INFO:root:5700    -5.746616e+00    1.274889e+00    -4.471728e+00    5.222740e+03
INFO:root:5800    -5.670060e+00    1.195972e+00    -4.474088e+00    5.222740e+03
INFO:root:5900    -5.694181e+00    1.217492e+00    -4.476689e+00    5.222740e+03
INFO:root:6000    -5.773750e+00    1.296117e+00    -4.477634e+00    5.222740e+03
INFO:root:6100    -5.790544e+00    1.317874e+00    -4.472670e+00    5.222740e+03
INFO:root:6200    -5.764277e+00    1.293498e+00    -4.470779e+00    5.222740e+03
INFO:root:6300    -5.733753e+00    1.259903e+00    -4.473850e+00    5.222740e+03
INFO:root:6400    -5.727667e+00    1.251217e+00    -4.476450e+00    5.222740e+03
INFO:root:6500    -5.728945e+00    1.250843e+00    -4.478102e+00    5.222740e+03
INFO:root:6600    -5.877719e+00    1.399614e+00    -4.478105e+00    5.222740e+03
INFO:root:6700    -5.777710e+00    1.300790e+00    -4.476920e+00    5.222740e+03
INFO:root:6800    -5.700665e+00    1.226345e+00    -4.474320e+00    5.222740e+03
INFO:root:6900    -5.799849e+00    1.328362e+00    -4.471487e+00    5.222740e+03
INFO:root:7000    -5.681005e+00    1.207159e+00    -4.473845e+00    5.222740e+03
INFO:root:7100    -5.764490e+00    1.293951e+00    -4.470540e+00    5.222740e+03
INFO:root:7200    -5.724830e+00    1.256891e+00    -4.467938e+00    5.222740e+03
INFO:root:7300    -5.692728e+00    1.222899e+00    -4.469828e+00    5.222740e+03
INFO:root:7400    -5.588149e+00    1.121160e+00    -4.466989e+00    5.222740e+03
