INFO:root:============================= SIMULATION =============================
INFO:root:Step       PotEng          KinEng          TotEng          Volume
INFO:root:2900    8.307340e+00    2.450808e+66    2.450808e+66    5.222740e+03
INFO:root:3000    3.671619e+04    2.450808e+66    2.450808e+66    5.222740e+03
INFO:root:3100    8.359836e+00    2.450808e+66    2.450808e+66    5.222740e+03
INFO:root:3200    8.337520e+00    2.450808e+66    2.450808e+66    5.222740e+03
INFO:root:3300    -3.585166e-02    2.450808e+66    2.450808e+66    5.222740e+03
INFO:root:3400    -5.019233e-02    2.450808e+66    2.450808e+66    5.222740e+03
INFO:root:3500    8.344428e+00    2.450808e+66    2.450808e+66    5.222740e+03
INFO:root:3600    1.505446e+08    2.450808e+66    2.450808e+66    5.222740e+03
INFO:root:3700    -3.585166e-02    2.450808e+66    2.450808e+66    5.222740e+03
INFO:root:3800    3.672455e+04    2.450808e+66    2.450808e+66    5.222740e+03
INFO:root:3900    -3.826648e-02    2.450808e+66    2.450808e+66    5.222740e+03
INFO:root:4000    -3.585166e-02    2.450808e+66    2.450808e+66    5.222740e+03
